year,state,city,code,name,measurement
2010,Texas,Deer Park,43803,Chloroform,0.0386516666666667
2010,Texas,Deer Park,45201,Benzene,3.21748325
2010,Texas,Deer Park,88103,Arsenic PM2.5 LC,0.0004525
2010,Texas,Deer Park,88128,Lead PM2.5 LC,0.0009185
2010,Texas,Denton,43803,Chloroform,0.0125
2010,Texas,Denton,45201,Benzene,1.224
2010,Texas,Diboll,43803,Chloroform,0.015556
2010,Texas,Diboll,45201,Benzene,1.512
2010,Texas,El Paso,43803,Chloroform,0.0179685
2010,Texas,El Paso,45201,Benzene,3.4406786
2010,Texas,El Paso,88103,Arsenic PM2.5 LC,0.0002255
2010,Texas,El Paso,88128,Lead PM2.5 LC,0.0044775
2010,Texas,Fort Worth,43803,Chloroform,0.016557
2010,Texas,Fort Worth,45201,Benzene,1.2536935
2010,Texas,Galena Park,43803,Chloroform,0.045849
2010,Texas,Galena Park,45201,Benzene,6.370189
2010,Texas,Galveston,43803,Chloroform,0.012414
2010,Texas,Galveston,45201,Benzene,0.9
2010,Texas,Grapevine,43803,Chloroform,0.017833
2010,Texas,Grapevine,45201,Benzene,1.027
2010,Texas,Greenville,43803,Chloroform,0.015862
2010,Texas,Greenville,45201,Benzene,1.133793
2010,Texas,Houston,43803,Chloroform,0.0366846666666667
2010,Texas,Houston,45201,Benzene,2.87034666666667
2010,Texas,Kaufman,43803,Chloroform,0.013
2010,Texas,Kaufman,45201,Benzene,1.023
2010,Texas,La Porte,43803,Chloroform,0.142667
2010,Texas,La Porte,45201,Benzene,4.865
2010,Texas,Laredo,43803,Chloroform,0.016946
2010,Texas,Laredo,45201,Benzene,3.0774735
2010,Texas,Lubbock,88103,Arsenic PM2.5 LC,0
2010,Texas,Lubbock,88128,Lead PM2.5 LC,0.002942
2010,Texas,Mercedes,43803,Chloroform,0.012667
2010,Texas,Mercedes,45201,Benzene,1.006
2010,Texas,Midlothian,43803,Chloroform,0.012759
2010,Texas,Midlothian,45201,Benzene,0.882414
2010,Texas,Midlothian,88103,Arsenic PM2.5 LC,1.1e-05
2010,Texas,Midlothian,88128,Lead PM2.5 LC,0.0034
2010,Texas,Mission,43803,Chloroform,0.015085
2010,Texas,Mission,45201,Benzene,1.505085
2010,Texas,Nederland,45201,Benzene,2.109848
2010,Texas,Odessa,45201,Benzene,1.692009
2010,Texas,Pasadena,43803,Chloroform,0.032241
2010,Texas,Pasadena,45201,Benzene,3.715862
2010,Texas,Pecan Acres,45201,Benzene,0.418583
2010,Texas,Port Arthur,43803,Chloroform,0.02677325
2010,Texas,Port Arthur,45201,Benzene,4.05559975
2010,Texas,Port Arthur,88103,Arsenic PM2.5 LC,6e-05
2010,Texas,Port Arthur,88128,Lead PM2.5 LC,0.001736
2010,Texas,Port Neches,43803,Chloroform,0.033396
2010,Texas,Port Neches,45201,Benzene,2.103396
2010,Texas,San Antonio,43803,Chloroform,0.017193
2010,Texas,San Antonio,45201,Benzene,1.830526
2010,Texas,Texas City,43803,Chloroform,0.023962
2010,Texas,Texas City,45201,Benzene,3.173208
2010,Texas,Flower Mound,45201,Benzene,0.978168
2011,Texas,Austin,43803,Chloroform,0.013962
2011,Texas,Austin,45201,Benzene,1.579245
2011,Texas,Baytown,43803,Chloroform,0.031698
2011,Texas,Baytown,45201,Benzene,2.721509
2011,Texas,Beaumont,43803,Chloroform,0.018802
2011,Texas,Beaumont,45201,Benzene,2.21157933333333
2011,Texas,Brownsville,43803,Chloroform,0.010328
2011,Texas,Brownsville,45201,Benzene,1.321967
2011,Texas,Channelview,43803,Chloroform,0.0544
2011,Texas,Channelview,45201,Benzene,3.923937
2011,Texas,Clute (corporate name for Clute City),43803,Chloroform,0.017705
2011,Texas,Clute (corporate name for Clute City),45201,Benzene,1.252131
2011,Texas,Conroe,43803,Chloroform,0.015
2011,Texas,Conroe,45201,Benzene,1.442222
2011,Texas,Corpus Christi,43803,Chloroform,0.0101946666666667
2011,Texas,Corpus Christi,45201,Benzene,2.93362825
2011,Texas,Corpus Christi,88103,Arsenic PM2.5 LC,4.5e-05
2011,Texas,Corpus Christi,88128,Lead PM2.5 LC,0.002509
2011,Texas,Dallas,43803,Chloroform,0.020727
2011,Texas,Dallas,45201,Benzene,1.100058
2011,Texas,Dallas,88103,Arsenic PM2.5 LC,0.0001395
2011,Texas,Dallas,88128,Lead PM2.5 LC,0.002472
2011,Texas,Decatur,45201,Benzene,0.990286
2011,Texas,Deer Park,43803,Chloroform,0.0289806666666667
2011,Texas,Deer Park,45201,Benzene,2.71898625
2011,Texas,Deer Park,88103,Arsenic PM2.5 LC,0.000414
2011,Texas,Deer Park,88128,Lead PM2.5 LC,0.0008525
2011,Texas,Denton,43803,Chloroform,0.011
2011,Texas,Denton,45201,Benzene,1.251
2011,Texas,El Paso,43803,Chloroform,0.01648
2011,Texas,El Paso,45201,Benzene,2.1207844
2011,Texas,El Paso,88103,Arsenic PM2.5 LC,0.000412
2011,Texas,El Paso,88128,Lead PM2.5 LC,0.002907
2011,Texas,Fort Worth,43803,Chloroform,0.011667
2011,Texas,Fort Worth,45201,Benzene,1.3022065
2011,Texas,Galena Park,43803,Chloroform,0.032115
2011,Texas,Galena Park,45201,Benzene,5.521154
2011,Texas,Galveston,43803,Chloroform,0.010893
2011,Texas,Galveston,45201,Benzene,0.940714
2011,Texas,Grapevine,43803,Chloroform,0.015082
2011,Texas,Grapevine,45201,Benzene,1.043607
2011,Texas,Greenville,43803,Chloroform,0.013934
2011,Texas,Greenville,45201,Benzene,1.245246
2011,Texas,Houston,43803,Chloroform,0.0268176666666667
2011,Texas,Houston,45201,Benzene,2.38611333333333
2011,Texas,Kaufman,43803,Chloroform,0.013607
2011,Texas,Kaufman,45201,Benzene,1.06623
2011,Texas,La Porte,43803,Chloroform,0.212295
2011,Texas,La Porte,45201,Benzene,5.351803
2011,Texas,Laredo,43803,Chloroform,0.0124455
2011,Texas,Laredo,45201,Benzene,2.438991
2011,Texas,Mercedes,43803,Chloroform,0.008571
2011,Texas,Mercedes,45201,Benzene,1.062857
2011,Texas,Midlothian,43803,Chloroform,0.007966
2011,Texas,Midlothian,45201,Benzene,0.956949
